match_time,home_team,away_team,home_goals,away_goals,category
2024-04-07T15:03:00+09:00,川崎フロンターレ,ＦＣ町田ゼルビア,0,1,J1
2024-04-07T15:03:00+09:00,愛媛ＦＣ,ファジアーノ岡山,2,2,J2
2024-04-07T17:04:00+09:00,ＦＣ東京,鹿島アントラーズ,2,0,J1
2024-04-10T18:03:00+09:00,岩手,奈良クラブ,2,1,J3
2024-04-10T19:03:00+09:00,横浜Ｆ・マリノス,ガンバ大阪,2,0,J1
2024-04-10T19:03:00+09:00,福島ユナイテッドＦＣ,ツエーゲン金沢,2,2,J3
2024-04-10T19:03:00+09:00,沼津,ＳＣ相模原,2,1,J3
2024-04-10T19:03:00+09:00,テゲバジャーロ宮崎,ＦＣ今治,1,2,J3
2024-04-10T19:03:00+09:00,ＡＣ長野パルセイロ,ガイナーレ鳥取,0,2,J3
2024-04-10T19:03:00+09:00,ＦＣ大阪,ヴァンラーレ八戸,2,0,J3
2024-04-10T19:03:00+09:00,YS横浜,ＲＢ大宮アルディージャ,0,1,J3
2024-04-10T19:03:00+09:00,ＦＣ岐阜,カターレ富山,1,1,J3
2024-04-10T19:03:00+09:00,ギラヴァンツ北九州,ＦＣ琉球,2,0,J3
2024-04-12T19:03:00+09:00,柏レイソル,浦和レッズ,1,0,J1
2024-04-13T14:03:00+09:00,ジュビロ磐田,名古屋グランパス,0,1,J1
2024-04-13T14:03:00+09:00,横浜Ｆ・マリノス,湘南ベルマーレ,2,2,J1
2024-04-13T14:03:00+09:00,アルビレックス新潟,北海道コンサドーレ札幌,1,1,J1
2024-04-13T14:03:00+09:00,ベガルタ仙台,モンテディオ山形,2,0,J2
2024-04-13T14:03:00+09:00,Ｖ・ファーレン長崎,徳島ヴォルティス,6,1,J2
2024-04-13T14:03:00+09:00,水戸ホーリーホック,栃木,2,2,J2
2024-04-13T14:03:00+09:00,ジェフユナイテッド千葉,大分トリニータ,1,1,J2
2024-04-13T14:03:00+09:00,ＳＣ相模原,福島ユナイテッドＦＣ,1,0,J3
2024-04-13T14:03:00+09:00,奈良クラブ,松本山雅ＦＣ,2,2,J3
2024-04-13T14:05:00+09:00,アビスパ福岡,サンフレッチェ広島,1,1,J1
2024-04-13T15:03:00+09:00,セレッソ大阪,川崎フロンターレ,1,0,J1
2024-04-13T15:03:00+09:00,鹿島アントラーズ,京都サンガF.C.,1,0,J1
2024-04-13T15:03:00+09:00,ＦＣ町田ゼルビア,ヴィッセル神戸,1,2,J1
2024-04-13T16:03:00+09:00,東京ヴェルディ,ＦＣ東京,2,2,J1
2024-04-13T16:03:00+09:00,愛媛ＦＣ,鹿児島ユナイテッドＦＣ,2,2,J2
2024-04-13T16:03:00+09:00,いわきＦＣ,清水エスパルス,2,3,J2
2024-04-14T13:03:00+09:00,ヴァンラーレ八戸,ＦＣ今治,0,1,J3
2024-04-14T14:03:00+09:00,レノファ山口ＦＣ,ザスパ群馬,4,0,J2
2024-04-14T14:03:00+09:00,横浜ＦＣ,藤枝ＭＹＦＣ,2,0,J2
2024-04-14T14:03:00+09:00,ロアッソ熊本,ヴァンフォーレ甲府,3,3,J2
2024-04-14T14:03:00+09:00,ブラウブリッツ秋田,ファジアーノ岡山,0,0,J2
2024-04-14T14:03:00+09:00,岩手,ＦＣ大阪,0,1,J3
2024-04-14T14:03:00+09:00,カターレ富山,ガイナーレ鳥取,2,0,J3
2024-04-14T14:03:00+09:00,ＲＢ大宮アルディージャ,沼津,1,1,J3
2024-04-14T14:03:00+09:00,ギラヴァンツ北九州,カマタマーレ讃岐,1,1,J3
2024-04-14T14:03:00+09:00,ツエーゲン金沢,YS横浜,3,1,J3
2024-04-14T15:03:00+09:00,ガンバ大阪,サガン鳥栖,2,1,J1
